country,year,age,sex,education,occupation,internet_use,cult_ballet,cult_cinema,cult_theatre,cult_concert,cult_library,cult_monuments,cult_museum,cult_ballet_bin,cult_cinema_bin,cult_theatre_bin,cult_concert_bin,cult_library_bin,cult_monuments_bin,cult_museum_bin,part_index,part_any,internet_use_rev,education_cat,female,year_2013,gdp_pc,culture_exp
BE,2007,28,1,22,10,1,3,4,4,4,4,4,4,1,1,1,1,1,1,1,7,1,6,high,0,0,29054.7,1.2
BE,2007,20,2,98,2,1,2,3,1,1,3,2,2,1,1,0,0,1,1,1,5,1,6,high,1,0,29054.7,1.2
BE,2007,20,1,98,2,1,1,3,1,2,3,1,2,0,1,0,1,1,0,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,17,2,98,2,5,2,1,1,1,4,2,2,1,0,0,0,1,1,1,4,1,2,high,1,0,29054.7,1.2
BE,2007,19,2,98,2,2,1,3,2,2,4,2,2,0,1,1,1,1,1,1,6,1,5,high,1,0,29054.7,1.2
BE,2007,20,2,98,2,1,2,4,1,2,4,2,3,1,1,0,1,1,1,1,6,1,6,high,1,0,29054.7,1.2
BE,2007,15,1,98,2,1,1,4,1,1,4,4,3,0,1,0,0,1,1,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,17,2,98,2,1,2,2,4,2,4,3,3,1,1,1,1,1,1,1,7,1,6,high,1,0,29054.7,1.2
BE,2007,20,2,98,2,1,1,4,2,3,4,4,2,0,1,1,1,1,1,1,6,1,6,high,1,0,29054.7,1.2
BE,2007,16,1,98,2,1,1,3,2,1,4,1,2,0,1,1,0,1,0,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,28,1,18,8,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,7,1,5,medium,0,0,29054.7,1.2
BE,2007,16,1,98,2,2,1,3,1,3,2,2,1,0,1,0,1,1,1,0,4,1,5,high,0,0,29054.7,1.2
BE,2007,21,2,98,2,1,2,4,2,3,4,1,1,1,1,1,1,1,0,0,5,1,6,high,1,0,29054.7,1.2
BE,2007,28,1,22,13,1,1,4,1,2,1,1,1,0,1,0,1,0,0,0,2,1,6,high,0,0,29054.7,1.2
BE,2007,20,1,98,2,1,1,4,1,1,3,2,1,0,1,0,0,1,1,0,3,1,6,high,0,0,29054.7,1.2
BE,2007,17,1,98,2,1,1,2,3,2,3,4,2,0,1,1,1,1,1,1,6,1,6,high,0,0,29054.7,1.2
BE,2007,23,2,18,14,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,medium,1,0,29054.7,1.2
BE,2007,28,1,24,13,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,high,0,0,29054.7,1.2
BE,2007,16,1,98,2,2,1,2,1,1,2,1,1,0,1,0,0,1,0,0,2,1,5,high,0,0,29054.7,1.2
BE,2007,16,1,98,2,2,1,2,1,1,2,1,1,0,1,0,0,1,0,0,2,1,5,high,0,0,29054.7,1.2
BE,2007,29,1,17,3,2,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,5,medium,0,0,29054.7,1.2
BE,2007,21,2,98,2,2,4,3,1,1,2,1,2,1,1,0,0,1,0,1,4,1,5,high,1,0,29054.7,1.2
BE,2007,21,1,98,2,1,1,4,1,1,2,4,1,0,1,0,0,1,1,0,3,1,6,high,0,0,29054.7,1.2
BE,2007,28,1,20,17,6,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,1,high,0,0,29054.7,1.2
BE,2007,23,1,98,2,1,1,4,4,3,1,4,2,0,1,1,1,0,1,1,5,1,6,high,0,0,29054.7,1.2
BE,2007,28,2,22,3,1,2,4,1,2,3,1,1,1,1,0,1,1,0,0,4,1,6,high,1,0,29054.7,1.2
BE,2007,28,2,18,15,1,1,4,2,4,2,2,2,0,1,1,1,1,1,1,6,1,6,medium,1,0,29054.7,1.2
BE,2007,28,2,22,15,3,1,2,2,2,1,1,1,0,1,1,1,0,0,0,3,1,4,high,1,0,29054.7,1.2
BE,2007,16,1,98,2,3,1,2,1,1,3,1,1,0,1,0,0,1,0,0,2,1,4,high,0,0,29054.7,1.2
BE,2007,21,2,20,1,3,1,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1,4,high,1,0,29054.7,1.2
BE,2007,16,1,98,2,6,1,2,1,1,2,1,1,0,1,0,0,1,0,0,2,1,1,high,0,0,29054.7,1.2
