freq,frequenc,isced11,age,sex,unit,geo,TIME_PERIOD,values
A,GE1,ED0-2,Y16-24,F,PC,AL,2022,48.7
A,GE1,ED0-2,Y16-24,F,PC,AT,2006,82.4
A,GE1,ED0-2,Y16-24,F,PC,AT,2015,87
A,GE1,ED0-2,Y16-24,F,PC,AT,2022,80.4
A,GE1,ED0-2,Y16-24,F,PC,BE,2006,85.9
A,GE1,ED0-2,Y16-24,F,PC,BE,2015,83.3
A,GE1,ED0-2,Y16-24,F,PC,BE,2022,76.7
A,GE1,ED0-2,Y16-24,F,PC,BG,2006,49.6
A,GE1,ED0-2,Y16-24,F,PC,BG,2015,42.1
A,GE1,ED0-2,Y16-24,F,PC,BG,2022,30.2
A,GE1,ED0-2,Y16-24,F,PC,CH,2015,98
A,GE1,ED0-2,Y16-24,F,PC,CH,2022,94.8
A,GE1,ED0-2,Y16-24,F,PC,CY,2006,88.2
A,GE1,ED0-2,Y16-24,F,PC,CY,2015,83.6
A,GE1,ED0-2,Y16-24,F,PC,CY,2022,56.5
A,GE1,ED0-2,Y16-24,F,PC,CZ,2006,90.1
A,GE1,ED0-2,Y16-24,F,PC,CZ,2015,90
A,GE1,ED0-2,Y16-24,F,PC,CZ,2022,89.4
A,GE1,ED0-2,Y16-24,F,PC,DE,2006,95.5
A,GE1,ED0-2,Y16-24,F,PC,DE,2015,94.9
A,GE1,ED0-2,Y16-24,F,PC,DE,2022,NA
A,GE1,ED0-2,Y16-24,F,PC,DK,2006,91.6
A,GE1,ED0-2,Y16-24,F,PC,DK,2015,96.4
A,GE1,ED0-2,Y16-24,F,PC,DK,2022,86.9
A,GE1,ED0-2,Y16-24,F,PC,EE,2006,90.4
A,GE1,ED0-2,Y16-24,F,PC,EE,2015,91.3
A,GE1,ED0-2,Y16-24,F,PC,EE,2022,85
A,GE1,ED0-2,Y16-24,F,PC,EL,2006,80.2
A,GE1,ED0-2,Y16-24,F,PC,EL,2015,70.3
A,GE1,ED0-2,Y16-24,F,PC,EL,2022,65
A,GE1,ED0-2,Y16-24,F,PC,ES,2006,83.4
A,GE1,ED0-2,Y16-24,F,PC,ES,2015,74.4
A,GE1,ED0-2,Y16-24,F,PC,ES,2022,78.8
A,GE1,ED0-2,Y16-24,F,PC,EU27_2020,2015,83.2
A,GE1,ED0-2,Y16-24,F,PC,FI,2006,93.2
A,GE1,ED0-2,Y16-24,F,PC,FI,2015,97.1
A,GE1,ED0-2,Y16-24,F,PC,FI,2022,81.4
A,GE1,ED0-2,Y16-24,F,PC,FR,2006,91.5
A,GE1,ED0-2,Y16-24,F,PC,FR,2015,91.4
A,GE1,ED0-2,Y16-24,F,PC,FR,2022,80.7
A,GE1,ED0-2,Y16-24,F,PC,HR,2015,81.9
A,GE1,ED0-2,Y16-24,F,PC,HR,2022,76.9
A,GE1,ED0-2,Y16-24,F,PC,HU,2006,81
A,GE1,ED0-2,Y16-24,F,PC,HU,2015,73.3
A,GE1,ED0-2,Y16-24,F,PC,HU,2022,65.3
A,GE1,ED0-2,Y16-24,F,PC,IE,2006,77.7
